order_id,created_at,promised_delivery_time,actual_delivery_time,ordered_quantity,delivered_quantity,quantity_unit,order_status,raw_order_status,warehouse_id,carrier_id,destination_region,sales_channel
ORD-SYN-C-0001,2026-06-01T12:07:00+08:00,2026-06-04T12:07:00+08:00,2026-06-08T19:08:21+08:00,3,3,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-SLOW,CN-ZJ-HZ,synthetic_marketplace
ORD-SYN-C-0002,2026-06-01T15:31:00+08:00,2026-06-04T15:31:00+08:00,2026-06-08T19:27:25+08:00,1,1,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-SLOW,CN-SD-QD,synthetic_classroom
ORD-SYN-C-0003,2026-06-01T18:55:00+08:00,2026-06-04T18:55:00+08:00,2026-06-03T21:36:04+08:00,1,1,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-STD,CN-HB-WH,synthetic_classroom
ORD-SYN-C-0004,2026-06-01T10:19:00+08:00,2026-06-04T10:19:00+08:00,2026-06-03T09:37:01+08:00,2,2,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-SD-QD,synthetic_marketplace
ORD-SYN-C-0005,2026-06-01T13:43:00+08:00,2026-06-04T13:43:00+08:00,2026-06-03T13:43:02+08:00,1,1,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-FAST,CN-SD-QD,synthetic_marketplace
ORD-SYN-C-0006,2026-06-01T16:07:00+08:00,2026-06-04T16:07:00+08:00,2026-06-09T16:22:52+08:00,2,2,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-SLOW,CN-JS-NJ,synthetic_store
ORD-SYN-C-0007,2026-06-01T19:31:00+08:00,2026-06-04T19:31:00+08:00,2026-06-03T10:59:53+08:00,5,5,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-STD,CN-JS-NJ,synthetic_marketplace
ORD-SYN-C-0008,2026-06-01T11:55:00+08:00,2026-06-04T11:55:00+08:00,2026-06-03T09:47:41+08:00,1,1,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-STD,CN-SD-QD,synthetic_marketplace
ORD-SYN-C-0009,2026-06-01T14:19:00+08:00,2026-06-04T14:19:00+08:00,2026-06-03T17:00:36+08:00,1,1,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-STD,CN-SD-QD,synthetic_marketplace
ORD-SYN-C-0010,2026-06-01T17:43:00+08:00,2026-06-04T17:43:00+08:00,2026-06-09T01:37:19+08:00,4,4,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-SLOW,CN-JS-NJ,synthetic_store
ORD-SYN-C-0011,2026-06-02T09:17:00+08:00,2026-06-05T09:17:00+08:00,2026-06-04T01:24:52+08:00,1,1,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-STD,CN-HB-WH,synthetic_marketplace
ORD-SYN-C-0012,2026-06-02T12:41:00+08:00,2026-06-05T12:41:00+08:00,2026-06-04T10:35:20+08:00,2,2,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-ZJ-HZ,synthetic_store
ORD-SYN-C-0013,2026-06-02T15:05:00+08:00,2026-06-05T15:05:00+08:00,2026-06-09T16:28:04+08:00,1,1,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-SLOW,CN-HB-WH,synthetic_classroom
ORD-SYN-C-0014,2026-06-02T18:29:00+08:00,2026-06-05T18:29:00+08:00,2026-06-10T00:46:10+08:00,4,4,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-SLOW,CN-ZJ-HZ,synthetic_classroom
