event_id,order_id,event_time,event_code,raw_status,warehouse_id,quantity,quantity_unit,source_system
WHE-SYN-C-0001-01,ORD-SYN-C-0001,2026-06-01T12:26:36+08:00,order_received,order_received,WH-SYN-WEST,3,piece,synthetic_case_generator
WHE-SYN-C-0001-02,ORD-SYN-C-0001,2026-06-01T13:05:34+08:00,picking_started,picking_started,WH-SYN-WEST,3,piece,synthetic_case_generator
WHE-SYN-C-0001-03,ORD-SYN-C-0001,2026-06-01T13:52:32+08:00,picking_completed,picking_completed,WH-SYN-WEST,3,piece,synthetic_case_generator
WHE-SYN-C-0001-04,ORD-SYN-C-0001,2026-06-01T14:24:26+08:00,quality_check_started,quality_check_started,WH-SYN-WEST,3,piece,synthetic_case_generator
WHE-SYN-C-0001-05,ORD-SYN-C-0001,2026-06-01T14:57:15+08:00,quality_check_completed,quality_check_completed,WH-SYN-WEST,3,piece,synthetic_case_generator
WHE-SYN-C-0001-06,ORD-SYN-C-0001,2026-06-01T15:00:53+08:00,packing_started,packing_started,WH-SYN-WEST,3,piece,synthetic_case_generator
WHE-SYN-C-0001-07,ORD-SYN-C-0001,2026-06-01T15:35:04+08:00,packing_completed,packing_completed,WH-SYN-WEST,3,piece,synthetic_case_generator
WHE-SYN-C-0001-08,ORD-SYN-C-0001,2026-06-01T15:48:19+08:00,ready_to_ship,ready_to_ship,WH-SYN-WEST,3,piece,synthetic_case_generator
WHE-SYN-C-0001-09,ORD-SYN-C-0001,2026-06-01T15:56:37+08:00,shipped_from_warehouse,shipped_from_warehouse,WH-SYN-WEST,3,piece,synthetic_case_generator
WHE-SYN-C-0002-01,ORD-SYN-C-0002,2026-06-01T15:44:47+08:00,order_received,order_received,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-C-0002-02,ORD-SYN-C-0002,2026-06-01T16:27:42+08:00,picking_started,picking_started,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-C-0002-03,ORD-SYN-C-0002,2026-06-01T17:19:40+08:00,picking_completed,picking_completed,WH-SYN-EAST,1,piece,synthetic_case_generator
