order_id,created_at,promised_delivery_time,actual_delivery_time,ordered_quantity,delivered_quantity,quantity_unit,order_status,raw_order_status,warehouse_id,carrier_id,destination_region,sales_channel
ORD-SYN-A-0001,2026-06-01T12:07:00+08:00,2026-06-04T12:07:00+08:00,2026-06-03T02:20:06+08:00,1,1,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-ECON,CN-SD-QD,synthetic_store
ORD-SYN-A-0002,2026-06-01T15:31:00+08:00,2026-06-04T15:31:00+08:00,2026-06-03T10:24:39+08:00,1,1,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-STD,CN-HB-WH,synthetic_marketplace
ORD-SYN-A-0003,2026-06-01T18:55:00+08:00,2026-06-04T18:55:00+08:00,2026-06-03T14:29:23+08:00,5,5,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-ZJ-HZ,synthetic_marketplace
ORD-SYN-A-0004,2026-06-01T10:19:00+08:00,2026-06-04T10:19:00+08:00,2026-06-03T09:29:20+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-HB-WH,synthetic_marketplace
ORD-SYN-A-0005,2026-06-01T13:43:00+08:00,2026-06-04T13:43:00+08:00,2026-06-03T02:47:56+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-ECON,CN-HB-WH,synthetic_marketplace
ORD-SYN-A-0006,2026-06-01T16:07:00+08:00,2026-06-04T16:07:00+08:00,2026-06-03T14:53:29+08:00,4,4,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-STD,CN-HB-WH,synthetic_marketplace
ORD-SYN-A-0007,2026-06-01T19:31:00+08:00,2026-06-04T19:31:00+08:00,2026-06-03T12:40:30+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-SD-QD,synthetic_classroom
ORD-SYN-A-0008,2026-06-01T11:55:00+08:00,2026-06-04T11:55:00+08:00,2026-06-02T19:30:56+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-JS-NJ,synthetic_store
ORD-SYN-A-0009,2026-06-01T14:19:00+08:00,2026-06-04T14:19:00+08:00,2026-06-03T14:05:43+08:00,1,0,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-STD,CN-ZJ-HZ,synthetic_store
ORD-SYN-A-0010,2026-06-01T17:43:00+08:00,2026-06-04T17:43:00+08:00,2026-06-05T14:13:21+08:00,1,1,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-STD,CN-JS-NJ,synthetic_marketplace
ORD-SYN-A-0011,2026-06-02T09:17:00+08:00,2026-06-05T09:17:00+08:00,2026-06-04T03:47:29+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-JS-NJ,synthetic_store
ORD-SYN-A-0012,2026-06-02T12:41:00+08:00,2026-06-05T12:41:00+08:00,2026-06-04T10:19:50+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-HB-WH,synthetic_store
ORD-SYN-A-0013,2026-06-02T15:05:00+08:00,2026-06-05T15:05:00+08:00,2026-06-04T16:29:10+08:00,5,5,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-ECON,CN-JS-NJ,synthetic_marketplace
ORD-SYN-A-0014,2026-06-02T18:29:00+08:00,2026-06-05T18:29:00+08:00,2026-06-04T11:25:00+08:00,5,4,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-ZJ-HZ,synthetic_marketplace
ORD-SYN-A-0015,2026-06-02T10:53:00+08:00,2026-06-05T10:53:00+08:00,2026-06-04T11:35:40+08:00,5,5,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-STD,CN-ZJ-HZ,synthetic_classroom
ORD-SYN-A-0016,2026-06-02T13:17:00+08:00,2026-06-05T13:17:00+08:00,2026-06-04T16:35:30+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-JS-NJ,synthetic_store
ORD-SYN-A-0017,2026-06-02T16:41:00+08:00,2026-06-05T16:41:00+08:00,2026-06-04T14:53:43+08:00,5,5,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-ECON,CN-JS-NJ,synthetic_store
ORD-SYN-A-0018,2026-06-02T19:05:00+08:00,2026-06-05T19:05:00+08:00,2026-06-04T15:11:39+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-ZJ-HZ,synthetic_marketplace
ORD-SYN-A-0019,2026-06-02T11:29:00+08:00,2026-06-05T11:29:00+08:00,2026-06-04T11:56:31+08:00,1,1,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-STD,CN-JS-NJ,synthetic_marketplace
ORD-SYN-A-0020,2026-06-02T14:53:00+08:00,2026-06-05T14:53:00+08:00,2026-06-04T11:39:16+08:00,2,2,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-ZJ-HZ,synthetic_classroom
ORD-SYN-A-0021,2026-06-03T17:27:00+08:00,2026-06-06T17:27:00+08:00,2026-06-05T13:43:29+08:00,5,5,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-ZJ-HZ,synthetic_store
ORD-SYN-A-0022,2026-06-03T09:51:00+08:00,2026-06-06T09:51:00+08:00,2026-06-05T10:22:57+08:00,3,3,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-FAST,CN-JS-NJ,synthetic_marketplace
ORD-SYN-A-0023,2026-06-03T12:15:00+08:00,2026-06-06T12:15:00+08:00,2026-06-05T11:20:55+08:00,4,4,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-ZJ-HZ,synthetic_marketplace
ORD-SYN-A-0024,2026-06-03T15:39:00+08:00,2026-06-06T15:39:00+08:00,2026-06-05T15:35:02+08:00,2,2,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-JS-NJ,synthetic_store
ORD-SYN-A-0025,2026-06-03T18:03:00+08:00,2026-06-06T18:03:00+08:00,2026-06-05T01:45:28+08:00,5,5,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-STD,CN-ZJ-HZ,synthetic_store
ORD-SYN-A-0026,2026-06-03T10:27:00+08:00,2026-06-06T10:27:00+08:00,2026-06-05T05:36:33+08:00,4,4,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-JS-NJ,synthetic_marketplace
