tracking_event_id,order_id,shipment_id,event_time,event_code,raw_status,carrier_id,location_code,region_code,exception_code,sequence_number
TRE-SYN-A-0001-01,ORD-SYN-A-0001,SHP-SYN-A-0001,2026-06-01T15:54:31+08:00,shipment_created,shipment_created,CAR-SYN-ECON,ORIGIN-WH-SYN-EAST,CN-SD-QD,,1
TRE-SYN-A-0001-02,ORD-SYN-A-0001,SHP-SYN-A-0001,2026-06-01T22:19:04+08:00,carrier_picked_up,carrier_picked_up,CAR-SYN-ECON,ORIGIN-WH-SYN-EAST,CN-SD-QD,,2
TRE-SYN-A-0001-03,ORD-SYN-A-0001,SHP-SYN-A-0001,2026-06-01T23:21:24+08:00,origin_departed,origin_departed,CAR-SYN-ECON,ORIGIN-WH-SYN-EAST,CN-SD-QD,,3
TRE-SYN-A-0001-04,ORD-SYN-A-0001,SHP-SYN-A-0001,2026-06-02T00:04:47+08:00,in_transit,in_transit,CAR-SYN-ECON,LINEHAUL-SYN-01,CN-SD-QD,,4
TRE-SYN-A-0001-05,ORD-SYN-A-0001,SHP-SYN-A-0001,2026-06-02T10:06:50+08:00,arrived_at_hub,arrived_at_hub,CAR-SYN-ECON,HUB-SYN-01,CN-SD-QD,,5
TRE-SYN-A-0001-06,ORD-SYN-A-0001,SHP-SYN-A-0001,2026-06-02T11:50:39+08:00,departed_hub,departed_hub,CAR-SYN-ECON,HUB-SYN-01,CN-SD-QD,,6
TRE-SYN-A-0001-07,ORD-SYN-A-0001,SHP-SYN-A-0001,2026-06-02T21:45:18+08:00,arrived_at_destination_city,arrived_at_destination_city,CAR-SYN-ECON,DEST-CN-SD-QD,CN-SD-QD,,7
TRE-SYN-A-0001-08,ORD-SYN-A-0001,SHP-SYN-A-0001,2026-06-03T00:13:33+08:00,out_for_delivery,out_for_delivery,CAR-SYN-ECON,SITE-CN-SD-QD,CN-SD-QD,,8
TRE-SYN-A-0001-09,ORD-SYN-A-0001,SHP-SYN-A-0001,2026-06-03T02:20:06+08:00,delivered,delivered,CAR-SYN-ECON,SITE-CN-SD-QD,CN-SD-QD,,9
TRE-SYN-A-0002-01,ORD-SYN-A-0002,SHP-SYN-A-0002,2026-06-01T18:54:54+08:00,shipment_created,shipment_created,CAR-SYN-STD,ORIGIN-WH-SYN-WEST,CN-HB-WH,,1
TRE-SYN-A-0002-02,ORD-SYN-A-0002,SHP-SYN-A-0002,2026-06-02T00:26:20+08:00,carrier_picked_up,carrier_picked_up,CAR-SYN-STD,ORIGIN-WH-SYN-WEST,CN-HB-WH,,2
TRE-SYN-A-0002-03,ORD-SYN-A-0002,SHP-SYN-A-0002,2026-06-02T01:53:51+08:00,origin_departed,origin_departed,CAR-SYN-STD,ORIGIN-WH-SYN-WEST,CN-HB-WH,,3
TRE-SYN-A-0002-04,ORD-SYN-A-0002,SHP-SYN-A-0002,2026-06-02T03:11:44+08:00,in_transit,in_transit,CAR-SYN-STD,LINEHAUL-SYN-01,CN-HB-WH,,4
TRE-SYN-A-0002-05,ORD-SYN-A-0002,SHP-SYN-A-0002,2026-06-02T12:24:13+08:00,arrived_at_hub,arrived_at_hub,CAR-SYN-STD,HUB-SYN-01,CN-HB-WH,,5
TRE-SYN-A-0002-06,ORD-SYN-A-0002,SHP-SYN-A-0002,2026-06-02T16:18:00+08:00,departed_hub,departed_hub,CAR-SYN-STD,HUB-SYN-01,CN-HB-WH,,6
TRE-SYN-A-0002-07,ORD-SYN-A-0002,SHP-SYN-A-0002,2026-06-03T05:15:03+08:00,arrived_at_destination_city,arrived_at_destination_city,CAR-SYN-STD,DEST-CN-HB-WH,CN-HB-WH,,7
TRE-SYN-A-0002-08,ORD-SYN-A-0002,SHP-SYN-A-0002,2026-06-03T08:08:27+08:00,out_for_delivery,out_for_delivery,CAR-SYN-STD,SITE-CN-HB-WH,CN-HB-WH,,8
TRE-SYN-A-0002-09,ORD-SYN-A-0002,SHP-SYN-A-0002,2026-06-03T10:24:39+08:00,delivered,delivered,CAR-SYN-STD,SITE-CN-HB-WH,CN-HB-WH,,9
TRE-SYN-A-0003-01,ORD-SYN-A-0003,SHP-SYN-A-0003,2026-06-01T22:41:16+08:00,shipment_created,shipment_created,CAR-SYN-FAST,ORIGIN-WH-SYN-EAST,CN-ZJ-HZ,,1
TRE-SYN-A-0003-02,ORD-SYN-A-0003,SHP-SYN-A-0003,2026-06-02T03:12:48+08:00,carrier_picked_up,carrier_picked_up,CAR-SYN-FAST,ORIGIN-WH-SYN-EAST,CN-ZJ-HZ,,2
