event_id,order_id,event_time,event_code,raw_status,warehouse_id,quantity,quantity_unit,source_system
WHE-SYN-A-0001-01,ORD-SYN-A-0001,2026-06-01T12:25:46+08:00,order_received,order_received,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-A-0001-02,ORD-SYN-A-0001,2026-06-01T13:18:38+08:00,picking_started,picking_started,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-A-0001-03,ORD-SYN-A-0001,2026-06-01T14:03:35+08:00,picking_completed,picking_completed,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-A-0001-04,ORD-SYN-A-0001,2026-06-01T14:24:55+08:00,quality_check_started,quality_check_started,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-A-0001-05,ORD-SYN-A-0001,2026-06-01T14:54:27+08:00,quality_check_completed,quality_check_completed,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-A-0001-06,ORD-SYN-A-0001,2026-06-01T15:03:48+08:00,packing_started,packing_started,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-A-0001-07,ORD-SYN-A-0001,2026-06-01T15:36:15+08:00,packing_completed,packing_completed,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-A-0001-08,ORD-SYN-A-0001,2026-06-01T15:54:31+08:00,ready_to_ship,ready_to_ship,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-A-0001-09,ORD-SYN-A-0001,2026-06-01T16:04:34+08:00,shipped_from_warehouse,shipped_from_warehouse,WH-SYN-EAST,1,piece,synthetic_case_generator
WHE-SYN-A-0002-01,ORD-SYN-A-0002,2026-06-01T15:45:47+08:00,order_received,order_received,WH-SYN-WEST,1,piece,synthetic_case_generator
WHE-SYN-A-0002-02,ORD-SYN-A-0002,2026-06-01T16:16:08+08:00,picking_started,picking_started,WH-SYN-WEST,1,piece,synthetic_case_generator
WHE-SYN-A-0002-03,ORD-SYN-A-0002,2026-06-01T17:12:15+08:00,picking_completed,picking_completed,WH-SYN-WEST,1,piece,synthetic_case_generator
WHE-SYN-A-0002-04,ORD-SYN-A-0002,2026-06-01T17:38:55+08:00,quality_check_started,quality_check_started,WH-SYN-WEST,1,piece,synthetic_case_generator
WHE-SYN-A-0002-05,ORD-SYN-A-0002,2026-06-01T18:05:05+08:00,quality_check_completed,quality_check_completed,WH-SYN-WEST,1,piece,synthetic_case_generator
WHE-SYN-A-0002-06,ORD-SYN-A-0002,2026-06-01T18:13:32+08:00,packing_started,packing_started,WH-SYN-WEST,1,piece,synthetic_case_generator
WHE-SYN-A-0002-07,ORD-SYN-A-0002,2026-06-01T18:44:58+08:00,packing_completed,packing_completed,WH-SYN-WEST,1,piece,synthetic_case_generator
WHE-SYN-A-0002-08,ORD-SYN-A-0002,2026-06-01T18:54:54+08:00,ready_to_ship,ready_to_ship,WH-SYN-WEST,1,piece,synthetic_case_generator
WHE-SYN-A-0002-09,ORD-SYN-A-0002,2026-06-01T19:01:00+08:00,shipped_from_warehouse,shipped_from_warehouse,WH-SYN-WEST,1,piece,synthetic_case_generator
WHE-SYN-A-0003-01,ORD-SYN-A-0003,2026-06-01T19:10:32+08:00,order_received,order_received,WH-SYN-EAST,5,piece,synthetic_case_generator
WHE-SYN-A-0003-02,ORD-SYN-A-0003,2026-06-01T19:52:42+08:00,picking_started,picking_started,WH-SYN-EAST,5,piece,synthetic_case_generator
WHE-SYN-A-0003-03,ORD-SYN-A-0003,2026-06-01T20:41:01+08:00,picking_completed,picking_completed,WH-SYN-EAST,5,piece,synthetic_case_generator
WHE-SYN-A-0003-04,ORD-SYN-A-0003,2026-06-01T21:07:33+08:00,quality_check_started,quality_check_started,WH-SYN-EAST,5,piece,synthetic_case_generator
WHE-SYN-A-0003-05,ORD-SYN-A-0003,2026-06-01T21:31:20+08:00,quality_check_completed,quality_check_completed,WH-SYN-EAST,5,piece,synthetic_case_generator
WHE-SYN-A-0003-06,ORD-SYN-A-0003,2026-06-01T21:42:09+08:00,packing_started,packing_started,WH-SYN-EAST,5,piece,synthetic_case_generator
