order_id,created_at,promised_delivery_time,actual_delivery_time,ordered_quantity,delivered_quantity,quantity_unit,order_status,raw_order_status,warehouse_id,carrier_id,destination_region,sales_channel
ORD-SYN-B-0001,2026-06-01T12:07:00+08:00,2026-06-04T00:07:00+08:00,2026-06-03T16:41:25+08:00,5,5,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-STD,CN-SD-QD,synthetic_marketplace
ORD-SYN-B-0002,2026-06-01T15:31:00+08:00,2026-06-04T03:31:00+08:00,2026-06-03T09:20:48+08:00,4,4,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-ECON,CN-SD-QD,synthetic_marketplace
ORD-SYN-B-0003,2026-06-01T18:55:00+08:00,2026-06-04T06:55:00+08:00,2026-06-03T19:52:12+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-ECON,CN-HB-WH,synthetic_marketplace
ORD-SYN-B-0004,2026-06-01T10:19:00+08:00,2026-06-03T22:19:00+08:00,2026-06-03T10:56:48+08:00,1,1,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-HB-WH,synthetic_marketplace
ORD-SYN-B-0005,2026-06-01T13:43:00+08:00,2026-06-04T01:43:00+08:00,2026-06-03T10:08:57+08:00,5,5,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-HB-WH,synthetic_store
ORD-SYN-B-0006,2026-06-01T16:07:00+08:00,2026-06-04T04:07:00+08:00,2026-06-03T15:15:26+08:00,4,4,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-HB-WH,synthetic_store
ORD-SYN-B-0007,2026-06-01T19:31:00+08:00,2026-06-04T07:31:00+08:00,2026-06-03T16:45:38+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-ECON,CN-ZJ-HZ,synthetic_classroom
ORD-SYN-B-0008,2026-06-01T11:55:00+08:00,2026-06-03T23:55:00+08:00,2026-06-03T05:08:03+08:00,2,2,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-FAST,CN-ZJ-HZ,synthetic_store
ORD-SYN-B-0009,2026-06-01T14:19:00+08:00,2026-06-04T02:19:00+08:00,2026-06-03T11:32:45+08:00,4,4,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-FAST,CN-SD-QD,synthetic_store
ORD-SYN-B-0010,2026-06-01T17:43:00+08:00,2026-06-04T05:43:00+08:00,2026-06-03T05:21:28+08:00,2,2,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-SD-QD,synthetic_store
ORD-SYN-B-0011,2026-06-01T09:07:00+08:00,2026-06-03T21:07:00+08:00,2026-06-03T02:06:23+08:00,5,5,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-FAST,CN-HB-WH,synthetic_marketplace
ORD-SYN-B-0012,2026-06-02T12:24:00+08:00,2026-06-05T00:24:00+08:00,2026-06-04T09:18:22+08:00,3,2,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-STD,CN-JS-NJ,synthetic_marketplace
ORD-SYN-B-0013,2026-06-02T15:48:00+08:00,2026-06-05T03:48:00+08:00,2026-06-04T08:41:16+08:00,5,5,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-STD,CN-ZJ-HZ,synthetic_marketplace
ORD-SYN-B-0014,2026-06-02T18:12:00+08:00,2026-06-05T06:12:00+08:00,2026-06-04T12:05:14+08:00,1,1,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-ZJ-HZ,synthetic_store
ORD-SYN-B-0015,2026-06-02T10:36:00+08:00,2026-06-04T22:36:00+08:00,2026-06-04T03:50:05+08:00,1,1,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-STD,CN-JS-NJ,synthetic_store
ORD-SYN-B-0016,2026-06-02T13:00:00+08:00,2026-06-05T01:00:00+08:00,2026-06-04T05:47:30+08:00,2,2,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-SD-QD,synthetic_marketplace
ORD-SYN-B-0017,2026-06-02T16:24:00+08:00,2026-06-05T04:24:00+08:00,2026-06-04T15:41:47+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-JS-NJ,synthetic_classroom
ORD-SYN-B-0018,2026-06-02T19:48:00+08:00,2026-06-05T07:48:00+08:00,2026-06-04T17:14:48+08:00,3,3,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-JS-NJ,synthetic_store
ORD-SYN-B-0019,2026-06-02T11:12:00+08:00,2026-06-04T23:12:00+08:00,2026-06-04T08:56:38+08:00,2,2,piece,delivered,delivered,WH-SYN-WEST,CAR-SYN-STD,CN-SD-QD,synthetic_marketplace
ORD-SYN-B-0020,2026-06-02T14:36:00+08:00,2026-06-05T02:36:00+08:00,2026-06-04T12:31:02+08:00,2,2,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-FAST,CN-HB-WH,synthetic_classroom
ORD-SYN-B-0021,2026-06-02T17:00:00+08:00,2026-06-05T05:00:00+08:00,2026-06-04T16:18:33+08:00,2,2,piece,delivered,delivered,WH-SYN-EAST,CAR-SYN-ECON,CN-JS-NJ,synthetic_store
