tracking_event_id,order_id,shipment_id,event_time,event_code,raw_status,carrier_id,location_code,region_code,exception_code,sequence_number
TRE-SYN-B-0001-01,ORD-SYN-B-0001,SHP-SYN-B-0001,2026-06-01T15:29:42+08:00,shipment_created,shipment_created,CAR-SYN-STD,ORIGIN-WH-SYN-WEST,CN-SD-QD,,1
TRE-SYN-B-0001-02,ORD-SYN-B-0001,SHP-SYN-B-0001,2026-06-01T22:12:55+08:00,carrier_picked_up,carrier_picked_up,CAR-SYN-STD,ORIGIN-WH-SYN-WEST,CN-SD-QD,,2
TRE-SYN-B-0001-03,ORD-SYN-B-0001,SHP-SYN-B-0001,2026-06-01T22:45:50+08:00,origin_departed,origin_departed,CAR-SYN-STD,ORIGIN-WH-SYN-WEST,CN-SD-QD,,3
TRE-SYN-B-0001-04,ORD-SYN-B-0001,SHP-SYN-B-0001,2026-06-01T23:53:39+08:00,in_transit,in_transit,CAR-SYN-STD,LINEHAUL-SYN-01,CN-SD-QD,,4
TRE-SYN-B-0001-05,ORD-SYN-B-0001,SHP-SYN-B-0001,2026-06-02T11:41:10+08:00,arrived_at_hub,arrived_at_hub,CAR-SYN-STD,HUB-SYN-01,CN-SD-QD,,5
TRE-SYN-B-0001-06,ORD-SYN-B-0001,SHP-SYN-B-0001,2026-06-02T14:01:25+08:00,departed_hub,departed_hub,CAR-SYN-STD,HUB-SYN-01,CN-SD-QD,,6
TRE-SYN-B-0001-07,ORD-SYN-B-0001,SHP-SYN-B-0001,2026-06-03T03:05:32+08:00,arrived_at_destination_city,arrived_at_destination_city,CAR-SYN-STD,DEST-CN-SD-QD,CN-SD-QD,,7
TRE-SYN-B-0001-08,ORD-SYN-B-0001,SHP-SYN-B-0001,2026-06-03T11:53:42+08:00,out_for_delivery,out_for_delivery,CAR-SYN-STD,SITE-CN-SD-QD,CN-SD-QD,,8
TRE-SYN-B-0001-09,ORD-SYN-B-0001,SHP-SYN-B-0001,2026-06-03T16:41:25+08:00,delivered,delivered,CAR-SYN-STD,SITE-CN-SD-QD,CN-SD-QD,,9
TRE-SYN-B-0002-01,ORD-SYN-B-0002,SHP-SYN-B-0002,2026-06-01T19:12:29+08:00,shipment_created,shipment_created,CAR-SYN-ECON,ORIGIN-WH-SYN-EAST,CN-SD-QD,,1
TRE-SYN-B-0002-02,ORD-SYN-B-0002,SHP-SYN-B-0002,2026-06-02T01:38:28+08:00,carrier_picked_up,carrier_picked_up,CAR-SYN-ECON,ORIGIN-WH-SYN-EAST,CN-SD-QD,,2
TRE-SYN-B-0002-03,ORD-SYN-B-0002,SHP-SYN-B-0002,2026-06-02T02:45:13+08:00,origin_departed,origin_departed,CAR-SYN-ECON,ORIGIN-WH-SYN-EAST,CN-SD-QD,,3
TRE-SYN-B-0002-04,ORD-SYN-B-0002,SHP-SYN-B-0002,2026-06-02T03:51:18+08:00,in_transit,in_transit,CAR-SYN-ECON,LINEHAUL-SYN-01,CN-SD-QD,,4
TRE-SYN-B-0002-05,ORD-SYN-B-0002,SHP-SYN-B-0002,2026-06-02T15:38:03+08:00,arrived_at_hub,arrived_at_hub,CAR-SYN-ECON,HUB-SYN-01,CN-SD-QD,,5
TRE-SYN-B-0002-06,ORD-SYN-B-0002,SHP-SYN-B-0002,2026-06-02T17:39:44+08:00,departed_hub,departed_hub,CAR-SYN-ECON,HUB-SYN-01,CN-SD-QD,,6
TRE-SYN-B-0002-07,ORD-SYN-B-0002,SHP-SYN-B-0002,2026-06-03T02:48:14+08:00,arrived_at_destination_city,arrived_at_destination_city,CAR-SYN-ECON,DEST-CN-SD-QD,CN-SD-QD,,7
TRE-SYN-B-0002-08,ORD-SYN-B-0002,SHP-SYN-B-0002,2026-06-03T05:34:21+08:00,out_for_delivery,out_for_delivery,CAR-SYN-ECON,SITE-CN-SD-QD,CN-SD-QD,,8
TRE-SYN-B-0002-09,ORD-SYN-B-0002,SHP-SYN-B-0002,2026-06-03T09:20:48+08:00,delivered,delivered,CAR-SYN-ECON,SITE-CN-SD-QD,CN-SD-QD,,9
TRE-SYN-B-0003-01,ORD-SYN-B-0003,SHP-SYN-B-0003,2026-06-01T22:41:30+08:00,shipment_created,shipment_created,CAR-SYN-ECON,ORIGIN-WH-SYN-EAST,CN-HB-WH,,1
TRE-SYN-B-0003-02,ORD-SYN-B-0003,SHP-SYN-B-0003,2026-06-02T03:05:04+08:00,carrier_picked_up,carrier_picked_up,CAR-SYN-ECON,ORIGIN-WH-SYN-EAST,CN-HB-WH,,2
TRE-SYN-B-0003-03,ORD-SYN-B-0003,SHP-SYN-B-0003,2026-06-02T04:23:22+08:00,origin_departed,origin_departed,CAR-SYN-ECON,ORIGIN-WH-SYN-EAST,CN-HB-WH,,3
TRE-SYN-B-0003-04,ORD-SYN-B-0003,SHP-SYN-B-0003,2026-06-02T05:10:53+08:00,in_transit,in_transit,CAR-SYN-ECON,LINEHAUL-SYN-01,CN-HB-WH,,4
TRE-SYN-B-0003-05,ORD-SYN-B-0003,SHP-SYN-B-0003,2026-06-02T17:58:15+08:00,arrived_at_hub,arrived_at_hub,CAR-SYN-ECON,HUB-SYN-01,CN-HB-WH,,5
TRE-SYN-B-0003-06,ORD-SYN-B-0003,SHP-SYN-B-0003,2026-06-02T20:30:14+08:00,departed_hub,departed_hub,CAR-SYN-ECON,HUB-SYN-01,CN-HB-WH,,6
TRE-SYN-B-0003-07,ORD-SYN-B-0003,SHP-SYN-B-0003,2026-06-03T09:25:29+08:00,arrived_at_destination_city,arrived_at_destination_city,CAR-SYN-ECON,DEST-CN-HB-WH,CN-HB-WH,,7
TRE-SYN-B-0003-08,ORD-SYN-B-0003,SHP-SYN-B-0003,2026-06-03T14:04:15+08:00,out_for_delivery,out_for_delivery,CAR-SYN-ECON,SITE-CN-HB-WH,CN-HB-WH,,8
TRE-SYN-B-0003-09,ORD-SYN-B-0003,SHP-SYN-B-0003,2026-06-03T19:52:12+08:00,delivered,delivered,CAR-SYN-ECON,SITE-CN-HB-WH,CN-HB-WH,,9
TRE-SYN-B-0004-01,ORD-SYN-B-0004,SHP-SYN-B-0004,2026-06-01T13:51:34+08:00,shipment_created,shipment_created,CAR-SYN-FAST,ORIGIN-WH-SYN-EAST,CN-HB-WH,,1
