event_id,order_id,event_time,event_code,raw_status,warehouse_id,quantity,quantity_unit,source_system
WHE-SYN-B-0001-01,ORD-SYN-B-0001,2026-06-01T12:21:44+08:00,order_received,order_received,WH-SYN-WEST,5,piece,synthetic_case_generator
WHE-SYN-B-0001-02,ORD-SYN-B-0001,2026-06-01T12:58:49+08:00,picking_started,picking_started,WH-SYN-WEST,5,piece,synthetic_case_generator
WHE-SYN-B-0001-03,ORD-SYN-B-0001,2026-06-01T13:45:26+08:00,picking_completed,picking_completed,WH-SYN-WEST,5,piece,synthetic_case_generator
WHE-SYN-B-0001-04,ORD-SYN-B-0001,2026-06-01T14:17:27+08:00,quality_check_started,quality_check_started,WH-SYN-WEST,5,piece,synthetic_case_generator
WHE-SYN-B-0001-05,ORD-SYN-B-0001,2026-06-01T14:40:44+08:00,quality_check_completed,quality_check_completed,WH-SYN-WEST,5,piece,synthetic_case_generator
WHE-SYN-B-0001-06,ORD-SYN-B-0001,2026-06-01T14:48:15+08:00,packing_started,packing_started,WH-SYN-WEST,5,piece,synthetic_case_generator
WHE-SYN-B-0001-07,ORD-SYN-B-0001,2026-06-01T15:19:46+08:00,packing_completed,packing_completed,WH-SYN-WEST,5,piece,synthetic_case_generator
WHE-SYN-B-0001-08,ORD-SYN-B-0001,2026-06-01T15:29:42+08:00,ready_to_ship,ready_to_ship,WH-SYN-WEST,5,piece,synthetic_case_generator
WHE-SYN-B-0001-09,ORD-SYN-B-0001,2026-06-01T15:37:03+08:00,shipped_from_warehouse,shipped_from_warehouse,WH-SYN-WEST,5,piece,synthetic_case_generator
WHE-SYN-B-0002-01,ORD-SYN-B-0002,2026-06-01T15:54:00+08:00,order_received,order_received,WH-SYN-EAST,4,piece,synthetic_case_generator
WHE-SYN-B-0002-02,ORD-SYN-B-0002,2026-06-01T16:31:34+08:00,picking_started,picking_started,WH-SYN-EAST,4,piece,synthetic_case_generator
WHE-SYN-B-0002-03,ORD-SYN-B-0002,2026-06-01T17:15:43+08:00,picking_completed,picking_completed,WH-SYN-EAST,4,piece,synthetic_case_generator
WHE-SYN-B-0002-04,ORD-SYN-B-0002,2026-06-01T17:44:05+08:00,quality_check_started,quality_check_started,WH-SYN-EAST,4,piece,synthetic_case_generator
WHE-SYN-B-0002-05,ORD-SYN-B-0002,2026-06-01T18:13:17+08:00,quality_check_completed,quality_check_completed,WH-SYN-EAST,4,piece,synthetic_case_generator
WHE-SYN-B-0002-06,ORD-SYN-B-0002,2026-06-01T18:22:33+08:00,packing_started,packing_started,WH-SYN-EAST,4,piece,synthetic_case_generator
WHE-SYN-B-0002-07,ORD-SYN-B-0002,2026-06-01T19:01:47+08:00,packing_completed,packing_completed,WH-SYN-EAST,4,piece,synthetic_case_generator
WHE-SYN-B-0002-08,ORD-SYN-B-0002,2026-06-01T19:12:29+08:00,ready_to_ship,ready_to_ship,WH-SYN-EAST,4,piece,synthetic_case_generator
WHE-SYN-B-0002-09,ORD-SYN-B-0002,2026-06-01T19:20:58+08:00,shipped_from_warehouse,shipped_from_warehouse,WH-SYN-EAST,4,piece,synthetic_case_generator
WHE-SYN-B-0003-01,ORD-SYN-B-0003,2026-06-01T19:14:33+08:00,order_received,order_received,WH-SYN-EAST,3,piece,synthetic_case_generator
WHE-SYN-B-0003-02,ORD-SYN-B-0003,2026-06-01T19:54:31+08:00,picking_started,picking_started,WH-SYN-EAST,3,piece,synthetic_case_generator
WHE-SYN-B-0003-03,ORD-SYN-B-0003,2026-06-01T20:41:38+08:00,picking_completed,picking_completed,WH-SYN-EAST,3,piece,synthetic_case_generator
WHE-SYN-B-0003-04,ORD-SYN-B-0003,2026-06-01T21:12:30+08:00,quality_check_started,quality_check_started,WH-SYN-EAST,3,piece,synthetic_case_generator
WHE-SYN-B-0003-05,ORD-SYN-B-0003,2026-06-01T21:35:10+08:00,quality_check_completed,quality_check_completed,WH-SYN-EAST,3,piece,synthetic_case_generator
