销售平台,Order No,创建时间,promisedDeliveryTime,实际送达时间,orderQty,已交付数量,unit,订单状态,仓库编码,物流公司,目的区域,无关备注
第三方平台,01000001,2026-07-01T08:17:00+08:00,2026-07-04 08:17,2026-07-03T07:17:00+08:00,2,2,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000002,2026-07-02T08:34:00+08:00,2026-07-05 08:34,2026-07-04T08:34:00+08:00,3,3,piece,妥投,WH-SYN-WEST-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000003,2026/07/03 08:51,2026-07-06 08:51,2026-07-05T09:51:00+08:00,4,4,piece,已签收,WH-SYN-EAST-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000004,2026-07-04T09:08:00+08:00,2026.07.07 09:08,2026-07-06T11:08:00+08:00,5,5,piece,妥投,WH-SYN-SOUTH-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000005,2026-07-05T09:25:00+08:00,2026-07-08 09:25,2026/07/07 12:25,1,1,piece,已签收,WH-SYN-WEST-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000006,2026/07/06 09:42,2026-07-09 09:42,2026-07-08T13:42:00+08:00,2,2,piece,妥投,WH-SYN-EAST-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000007,2026-07-07T09:59:00+08:00,2026-07-10 09:59,2026-07-09T14:59:00+08:00,3,3,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000008,2026-07-08T10:16:00+08:00,2026.07.11 10:16,2026-07-10T16:16:00+08:00,4,4,piece,妥投,WH-SYN-WEST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000009,2026/07/09 10:33,2026-07-12 10:33,2026-07-11T17:33:00+08:00,5,4,piece,已签收,WH-SYN-EAST-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000010,2026-07-10T10:50:00+08:00,2026-07-13 10:50,2026/07/12 18:50,1,1,piece,妥投,WH-SYN-SOUTH-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000011,2026-07-11T11:07:00+08:00,2026-07-14 11:07,2026-07-15T03:07:00+08:00,2,2,piece,已签收,WH-SYN-WEST-01,CAR-SYN-D,CN-SYN-WEST,合成晚到
自营商城,01000012,2026/07/12 11:24,2026.07.15 11:24,2026-07-14T21:24:00+08:00,3,3,piece,妥投,WH-SYN-EAST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000013,2026-07-13T11:41:00+08:00,2026-07-16 11:41,,4,,piece,processing,WH-SYN-SOUTH-01,CAR-SYN-B,CN-SYN-NORTH,尚未交付；对应指标应保持不可计算
直播渠道,01000014,2026-07-14T11:58:00+08:00,2026-07-17 11:58,2026-07-16T23:58:00+08:00,5,5,piece,妥投,WH-SYN-WEST-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000015,2026/07/15 12:15,2026-07-18 12:15,2026/07/18 01:15,1,1,piece,已签收,WH-SYN-EAST-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000016,2026-07-16T12:32:00+08:00,2026.07.19 12:32,2026-07-19T02:32:00+08:00,2,2,piece,妥投,WH-SYN-SOUTH-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000017,2026-07-17T12:49:00+08:00,2026-07-20 12:49,,3,0,piece,cancelled,WH-SYN-WEST-01,CAR-SYN-B,CN-SYN-NORTH,合成取消订单；用于取消率验证
直播渠道,01000018,2026/07/18 13:06,2026-07-21 13:06,2026-07-21T05:06:00+08:00,4,3,piece,妥投,WH-SYN-EAST-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000019,2026-07-19T13:23:00+08:00,2026-07-22 13:23,2026-07-22T06:23:00+08:00,5,5,piece,returned,WH-SYN-SOUTH-01,CAR-SYN-D,CN-SYN-WEST,合成退回订单；用于退回率验证
自营商城,01000020,2026-07-20T13:40:00+08:00,2026.07.23 13:40,2026/07/22 12:40,1,1,piece,妥投,WH-SYN-WEST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000021,2026/07/21 13:57,2026-07-24 13:57,2026-07-23T13:57:00+08:00,2,2,piece,已签收,WH-SYN-EAST-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000022,2026-07-22T14:14:00+08:00,2026-07-25 14:14,2026-07-26T06:14:00+08:00,3,3,piece,妥投,WH-SYN-SOUTH-01,CAR-SYN-C,CN-SYN-SOUTH,合成晚到
门店小程序,01000023,2026-07-23T14:31:00+08:00,2026-07-26 14:31,2026-07-25T16:31:00+08:00,4,4,piece,已签收,WH-SYN-WEST-01,,CN-SYN-WEST,合成正常履约
自营商城,01000024,2026/07/24 14:48,2026.07.27 14:48,2026-07-26T17:48:00+08:00,5,5,piece,妥投,WH-SYN-EAST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000025,2026-07-01T15:05:00+08:00,2026-07-04 15:05,2026/07/03 19:05,1,1,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000026,2026-07-02T15:22:00+08:00,2026-07-05 15:22,,2,,piece,processing,WH-SYN-WEST-01,CAR-SYN-C,CN-SYN-SOUTH,尚未交付；对应指标应保持不可计算
门店小程序,01000027,2026/07/03 15:39,2026-07-06 15:39,2026-07-05T21:39:00+08:00,3,2,piece,已签收,WH-SYN-EAST-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000028,2026-07-04T15:56:00+08:00,2026.07.07 15:56,2026-07-06T22:56:00+08:00,4,4,piece,妥投,WH-SYN-SOUTH-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000029,2026-07-05T16:13:00+08:00,2026-07-08 16:13,2026-07-08T00:13:00+08:00,5,5,piece,已签收,WH-SYN-WEST-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000030,2026/07/06 16:30,2026-07-09 16:30,2026/07/09 01:30,1,1,piece,妥投,WH-SYN-EAST-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000031,2026-07-07T16:47:00+08:00,2026-07-10 16:47,2026-07-10T02:47:00+08:00,2,2,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000032,2026-07-08T17:04:00+08:00,2026.07.11 17:04,2026-07-11T04:04:00+08:00,3,3,piece,妥投,WH-SYN-WEST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000033,2026/07/09 17:21,2026-07-12 17:21,2026-07-13T09:21:00+08:00,4,4,piece,已签收,WH-SYN-EAST-01,CAR-SYN-B,CN-SYN-NORTH,合成晚到
直播渠道,01000034,2026-07-10T17:38:00+08:00,2026-07-13 17:38,,5,0,piece,cancelled,WH-SYN-SOUTH-01,CAR-SYN-C,CN-SYN-SOUTH,合成取消订单；用于取消率验证
门店小程序,01000035,2026-07-11T17:55:00+08:00,2026-07-14 17:55,2026/07/14 07:55,1,1,piece,已签收,WH-SYN-WEST-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000036,2026/07/12 18:12,2026.07.15 18:12,2026-07-15T09:12:00+08:00,2,1,piece,妥投,WH-SYN-EAST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
